#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A29FCF
#Date Time: 2022-04-06 19:20:10.910
#Sample rate: 4e+06Hz
#Samples: 4096

Time (s),Bus,nRESET,MODE,nCSW,nCSR,nINT
-0.00023725,b11000000,1,0,1,1,1
-0.000237,b11000000,1,0,1,1,1
-0.00023675,b11000000,1,0,1,1,1
-0.0002365,b11000000,1,0,1,1,1
-0.00023625,b11000000,1,0,1,1,1
-0.000236,b11000000,1,0,1,1,1
-0.00023575,b11000000,1,0,1,1,1
-0.0002355,b11000000,1,0,1,1,1
-0.00023525,b11000000,1,0,1,1,1
-0.000235,b11000000,1,0,1,1,1
-0.00023475,b11000000,1,0,1,1,1
-0.0002345,b11000000,1,0,1,1,1
-0.00023425,b11000000,1,0,1,1,1
-0.000234,b11000000,1,0,1,1,1
-0.00023375,b11000000,1,0,1,1,1
-0.0002335,b11000000,1,0,1,1,1
-0.00023325,b11000000,1,0,1,1,1
-0.000233,b11000000,1,0,1,1,1
-0.00023275,b11000000,1,0,1,1,1
-0.0002325,b11000000,1,0,1,1,1
-0.00023225,b11000000,1,0,1,1,1
-0.000232,b11000000,1,0,1,1,1
-0.00023175,b11000000,1,0,1,1,1
-0.0002315,b11000000,1,0,1,1,1
-0.00023125,b11000000,1,0,1,1,1
-0.000231,b11000000,1,0,1,1,1
-0.00023075,b11000000,1,0,1,1,1
-0.0002305,b11000000,1,0,1,1,1
-0.00023025,b11000000,1,0,1,1,1
-0.00023,b11000000,1,0,1,1,1
-0.00022975,b11000000,1,0,1,1,1
-0.0002295,b11000000,1,0,1,1,1
-0.00022925,b11000000,1,0,1,1,1
-0.000229,b11000000,1,0,1,1,1
-0.00022875,b11000000,1,0,1,1,1
-0.0002285,b11000000,1,0,1,1,1
-0.00022825,b11000000,1,0,1,1,1
-0.000228,b11000000,1,0,1,1,1
-0.00022775,b11000000,1,0,1,1,1
-0.0002275,b11000000,1,0,1,1,1
-0.00022725,b11000000,1,0,1,1,1
-0.000227,b11000000,1,0,1,1,1
-0.00022675,b11000000,1,0,1,1,1
-0.0002265,b11000000,1,0,1,1,1
-0.00022625,b11000000,1,0,1,1,1
-0.000226,b11000000,1,0,1,1,1
-0.00022575,b11000000,1,0,1,1,1
-0.0002255,b11000000,1,0,1,1,1
-0.00022525,b11000000,1,0,1,1,1
-0.000225,b11000000,1,0,1,1,1
-0.00022475,b11000000,1,0,1,1,1
-0.0002245,b11000000,1,0,1,1,1
-0.00022425,b11000000,1,0,1,1,1
-0.000224,b11000000,1,0,1,1,1
-0.00022375,b11000000,1,0,1,1,1
-0.0002235,b11000000,1,0,1,1,1
-0.00022325,b11000000,1,0,1,1,1
-0.000223,b11000000,1,0,1,1,1
-0.00022275,b11000000,1,0,1,1,1
-0.0002225,b11000000,1,0,1,1,1
-0.00022225,b11000000,1,0,1,1,1
-0.000222,b11000000,1,0,1,1,1
-0.00022175,b11000000,1,0,1,1,1
-0.0002215,b11000000,1,0,1,1,1
-0.00022125,b11000000,1,0,1,1,1
-0.000221,b11000000,1,0,1,1,1
-0.00022075,b11000000,1,0,1,1,1
-0.0002205,b11000000,1,0,1,1,1
-0.00022025,b11000000,1,0,1,1,1
-0.00022,b11000000,1,0,1,1,1
-0.00021975,b11000000,1,0,1,1,1
-0.0002195,b11000000,1,0,1,1,1
-0.00021925,b11000000,1,0,1,1,1
-0.000219,b11000000,1,0,1,1,1
-0.00021875,b11000000,1,0,1,1,1
-0.0002185,b11000000,1,0,1,1,1
-0.00021825,b11000000,1,0,1,1,1
-0.000218,b11000000,1,0,1,1,1
-0.00021775,b11000000,1,0,1,1,1
-0.0002175,b11000000,1,0,1,1,1
-0.00021725,b11000000,1,0,1,1,1
-0.000217,b11000000,1,0,1,1,1
-0.00021675,b11000000,1,0,1,1,1
-0.0002165,b11000000,1,0,1,1,1
-0.00021625,b11000000,1,0,1,1,1
-0.000216,b11000000,1,0,1,1,1
-0.00021575,b11000000,1,0,1,1,1
-0.0002155,b11000000,1,0,1,1,1
-0.00021525,b11000000,1,0,1,1,1
-0.000215,b11000000,1,0,1,1,1
-0.00021475,b11000000,1,0,1,1,1
-0.0002145,b11000000,1,0,1,1,1
-0.00021425,b11000000,1,0,1,1,1
-0.000214,b11000000,1,0,1,1,1
-0.00021375,b11000000,1,0,1,1,1
-0.0002135,b11000000,1,0,1,1,1
-0.00021325,b11000000,1,0,1,1,1
-0.000213,b11000000,1,0,1,1,1
-0.00021275,b11000000,1,0,1,1,1
-0.0002125,b11000000,1,0,1,1,1
-0.00021225,b11000000,1,0,1,1,1
-0.000212,b11000000,1,0,1,1,1
-0.00021175,b11000000,1,0,1,1,1
-0.0002115,b11000000,1,0,1,1,1
-0.00021125,b11000000,1,0,1,1,1
-0.000211,b11000000,1,0,1,1,1
-0.00021075,b11000000,1,0,1,1,1
-0.0002105,b11000000,1,0,1,1,1
-0.00021025,b11000000,1,0,1,1,1
-0.00021,b11000000,1,0,1,1,1
-0.00020975,b11000000,1,0,1,1,1
-0.0002095,b11000000,1,0,1,1,1
-0.00020925,b11000000,1,0,1,1,1
-0.000209,b11000000,1,0,1,1,1
-0.00020875,b11000000,1,0,1,1,1
-0.0002085,b11000000,1,0,1,1,1
-0.00020825,b11000000,1,0,1,1,1
-0.000208,b11000000,1,0,1,1,1
-0.00020775,b11000000,1,0,1,1,1
-0.0002075,b11000000,1,0,1,1,1
-0.00020725,b11000000,1,0,1,1,1
-0.000207,b11000000,1,0,1,1,1
-0.00020675,b11000000,1,0,1,1,1
-0.0002065,b11000000,1,0,1,1,1
-0.00020625,b11000000,1,0,1,1,1
-0.000206,b11000000,1,0,1,1,1
-0.00020575,b11000000,1,0,1,1,1
-0.0002055,b11000000,1,0,1,1,1
-0.00020525,b11000000,1,0,1,1,1
-0.000205,b11000000,1,0,1,1,1
-0.00020475,b11000000,1,0,1,1,1
-0.0002045,b11000000,1,0,1,1,1
-0.00020425,b11000000,1,0,1,1,1
-0.000204,b11000000,1,0,1,1,1
-0.00020375,b11000000,1,0,1,1,1
-0.0002035,b11000000,1,0,1,1,1
-0.00020325,b11000000,1,0,1,1,1
-0.000203,b11000000,1,0,1,1,1
-0.00020275,b11000000,1,0,1,1,1
-0.0002025,b11000000,1,0,1,1,1
-0.00020225,b11000000,1,0,1,1,1
-0.000202,b11000000,1,0,1,1,1
-0.00020175,b11000000,1,0,1,1,1
-0.0002015,b11000000,1,0,1,1,1
-0.00020125,b11000000,1,0,1,1,1
-0.000201,b11000000,1,0,1,1,1
-0.00020075,b11000000,1,0,1,1,1
-0.0002005,b11000000,1,0,1,1,1
-0.00020025,b11000000,1,0,1,1,1
-0.0002,b11000000,1,0,1,1,1
-0.00019975,b11000000,1,0,1,1,1
-0.0001995,b11000000,1,0,1,1,1
-0.00019925,b11000000,1,0,1,1,1
-0.000199,b11000000,1,0,1,1,1
-0.00019875,b11000000,1,0,1,1,1
-0.0001985,b11000000,1,0,1,1,1
-0.00019825,b11000000,1,0,1,1,1
-0.000198,b11000000,1,0,1,1,1
-0.00019775,b11000000,1,0,1,1,1
-0.0001975,b11000000,1,0,1,1,1
-0.00019725,b11000000,1,0,1,1,1
-0.000197,b11000000,1,0,1,1,1
-0.00019675,b11000000,1,0,1,1,1
-0.0001965,b11000000,1,0,1,1,1
-0.00019625,b11000000,1,0,1,1,1
-0.000196,b11000000,1,0,1,1,1
-0.00019575,b11000000,1,0,1,1,1
-0.0001955,b11000000,1,0,1,1,1
-0.00019525,b11000000,1,0,1,1,1
-0.000195,b11000000,1,0,1,1,1
-0.00019475,b11000000,1,0,1,1,1
-0.0001945,b11000000,1,0,1,1,1
-0.00019425,b11000000,1,0,1,1,1
-0.000194,b11000000,1,0,1,1,1
-0.00019375,b11000000,1,0,1,1,1
-0.0001935,b11000000,1,0,1,1,1
-0.00019325,b11000000,1,0,1,1,1
-0.000193,b11000000,1,0,1,1,1
-0.00019275,b11000000,1,0,1,1,1
-0.0001925,b11000000,1,0,1,1,1
-0.00019225,b11000000,1,0,1,1,1
-0.000192,b11000000,1,0,1,1,1
-0.00019175,b11000000,1,0,1,1,1
-0.0001915,b11000000,1,0,1,1,1
-0.00019125,b11000000,1,0,1,1,1
-0.000191,b11000000,1,0,1,1,1
-0.00019075,b11000000,1,0,1,1,1
-0.0001905,b11000000,1,0,1,1,1
-0.00019025,b11000000,1,0,1,1,1
-0.00019,b11000000,1,0,1,1,1
-0.00018975,b11000000,1,0,1,1,1
-0.0001895,b11000000,1,0,1,1,1
-0.00018925,b11000000,1,0,1,1,1
-0.000189,b11000000,1,0,1,1,1
-0.00018875,b11000000,1,0,1,1,1
-0.0001885,b11000000,1,0,1,1,1
-0.00018825,b11000000,1,0,1,1,1
-0.000188,b11000000,1,0,1,1,1
-0.00018775,b11000000,1,0,1,1,1
-0.0001875,b11000000,1,0,1,1,1
-0.00018725,b11000000,1,0,1,1,1
-0.000187,b11000000,1,0,1,1,1
-0.00018675,b11000000,1,0,1,1,1
-0.0001865,b11000000,1,0,1,1,1
-0.00018625,b11000000,1,0,1,1,1
-0.000186,b11000000,1,0,1,1,1
-0.00018575,b11000000,1,0,1,1,1
-0.0001855,b11000000,1,0,1,1,1
-0.00018525,b11000000,1,0,1,1,1
-0.000185,b11000000,1,0,1,1,1
-0.00018475,b11000000,1,0,1,1,1
-0.0001845,b11000000,1,0,1,1,1
-0.00018425,b11000000,1,0,1,1,1
-0.000184,b11000000,1,0,1,1,1
-0.00018375,b11000000,1,0,1,1,1
-0.0001835,b11000000,1,0,1,1,1
-0.00018325,b11000000,1,0,1,1,1
-0.000183,b11000000,1,0,1,1,1
-0.00018275,b11000000,1,0,1,1,1
-0.0001825,b11000000,1,0,1,1,1
-0.00018225,b11000000,1,0,1,1,1
-0.000182,b11000000,1,0,1,1,1
-0.00018175,b11000000,1,0,1,1,1
-0.0001815,b11000000,1,0,1,1,1
-0.00018125,b11000000,1,0,1,1,1
-0.000181,b11000000,1,0,1,1,1
-0.00018075,b11000000,1,0,1,1,1
-0.0001805,b11000000,1,0,1,1,1
-0.00018025,b11000000,1,0,1,1,1
-0.00018,b11000000,1,0,1,1,1
-0.00017975,b11000000,1,0,1,1,1
-0.0001795,b11000000,1,0,1,1,1
-0.00017925,b11000000,1,0,1,1,1
-0.000179,b11000000,1,0,1,1,1
-0.00017875,b11000000,1,0,1,1,1
-0.0001785,b11000000,1,0,1,1,1
-0.00017825,b11000000,1,0,1,1,1
-0.000178,b11000000,1,0,1,1,1
-0.00017775,b11000000,1,0,1,1,1
-0.0001775,b11000000,1,0,1,1,1
-0.00017725,b11000000,1,0,1,1,1
-0.000177,b11000000,1,0,1,1,1
-0.00017675,b11000000,1,0,1,1,1
-0.0001765,b11000000,1,0,1,1,1
-0.00017625,b11000000,1,0,1,1,1
-0.000176,b11000000,1,0,1,1,1
-0.00017575,b11000000,1,0,1,1,1
-0.0001755,b11000000,1,0,1,1,1
-0.00017525,b11000000,1,0,1,1,1
-0.000175,b11000000,1,0,1,1,1
-0.00017475,b11000000,1,0,1,1,1
-0.0001745,b11000000,1,0,1,1,1
-0.00017425,b11000000,1,0,1,1,1
-0.000174,b11000000,1,0,1,1,1
-0.00017375,b11000000,1,0,1,1,1
-0.0001735,b11000000,1,0,1,1,1
-0.00017325,b11000000,1,0,1,1,1
-0.000173,b11000000,1,0,1,1,1
-0.00017275,b11000000,1,0,1,1,1
-0.0001725,b11000000,1,0,1,1,1
-0.00017225,b11000000,1,0,1,1,1
-0.000172,b11000000,1,0,1,1,1
-0.00017175,b11000000,1,0,1,1,1
-0.0001715,b11000000,1,0,1,1,1
-0.00017125,b11000000,1,0,1,1,1
-0.000171,b11000000,1,0,1,1,1
-0.00017075,b11000000,1,0,1,1,1
-0.0001705,b11000000,1,0,1,1,1
-0.00017025,b11000000,1,0,1,1,1
-0.00017,b11000000,1,0,1,1,1
-0.00016975,b11000000,1,0,1,1,1
-0.0001695,b11000000,1,0,1,1,1
-0.00016925,b11000000,1,0,1,1,1
-0.000169,b11000000,1,0,1,1,1
-0.00016875,b11000000,1,0,1,1,1
-0.0001685,b11000000,1,0,1,1,1
-0.00016825,b11000000,1,0,1,1,1
-0.000168,b11000000,1,0,1,1,1
-0.00016775,b11000000,1,0,1,1,1
-0.0001675,b11000000,1,0,1,1,1
-0.00016725,b11000000,1,0,1,1,1
-0.000167,b11000000,1,0,1,1,1
-0.00016675,b11000000,1,0,1,1,1
-0.0001665,b11000000,1,0,1,1,1
-0.00016625,b11000000,1,0,1,1,1
-0.000166,b11000000,1,0,1,1,1
-0.00016575,b11000000,1,0,1,1,1
-0.0001655,b11000000,1,0,1,1,1
-0.00016525,b11000000,1,0,1,1,1
-0.000165,b11000000,1,0,1,1,1
-0.00016475,b11000000,1,0,1,1,1
-0.0001645,b11000000,1,0,1,1,1
-0.00016425,b11000000,1,0,1,1,1
-0.000164,b11000000,1,0,1,1,1
-0.00016375,b11000000,1,0,1,1,1
-0.0001635,b11000000,1,0,1,1,1
-0.00016325,b11000000,1,0,1,1,1
-0.000163,b11000000,1,0,1,1,1
-0.00016275,b11000000,1,0,1,1,1
-0.0001625,b11000000,1,0,1,1,1
-0.00016225,b11000000,1,0,1,1,1
-0.000162,b11000000,1,0,1,1,1
-0.00016175,b11000000,1,0,1,1,1
